Dublin Core:Identifier,upload_url,tags,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Dublin Core:Title,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Source,Dublin Core:Publisher,Dublin Core:Date,Dublin Core:Rights,Dublin Core:Format,Dublin Core:Language,Dublin Core:Type
exhibit_amfl_po_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_amfl_po_00.tif,2001 exhibit,poster,3675x2800,AmeriFlora '92,Photos and plans from the Lakes and Cascades display,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_col_po_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_col_po_00.tif,"2001 exhibit,Columbus",poster,3675x2800,Columbus Zoo,"Sketches, plans, and photos of the West African Forest and North American Wetlands exhibits of the Columbus Zoological Gardens",Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_ftw_po_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_ftw_po_00.tif,"2001 exhibit,Fort Wayne",poster,3675x2800,Ft. Wayne Childrens Zoo Australian Adventure,Describes the major features and illustrates with photos and a plan,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_ftw_po_01,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_ftw_po_01.tif,"2001 exhibit,Fort Wayne",poster,3675x2800,Ft. Wayne Childrens Zoo Indonesian Rainforest,"Illustrates the rainforest exhibit with photos, sketches, and a plan",Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_hist_po_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_hist_po_00.tif,2001 exhibit,poster,3675x2800,Jim Bassett: A Personal History,Describes the experiences that influenced James H. Bassett's career as a landscape architect,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_kcz_po_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_kcz_po_00.tif,"2001 exhibit,Kansas City",poster,3675x2800,Kansas City Zoo Master Plan,Illustrates the master plan with sketches of the exhibits,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_kcz_po_01,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_kcz_po_01.tif,"2001 exhibit,Kansas City",poster,3675x2800,African Plains at the Kansas City Zoo,Describes the plains exhibit and illustrates with photos and a sketch,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_kcz_po_02,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_kcz_po_02.tif,"2001 exhibit,Kansas City",poster,1050x800,Gombe Stream Chimp Preserve at the Kansas City Zoo,The chimp exhibit is illustrated with photographs and a section sketch,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_kcz_po_03,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_kcz_po_03.tif,"2001 exhibit,Kansas City",poster,1074x848,The Australian Outback at the Kansas City Zoo,The outback experience is described and illustrated with a sketch and photos,Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
exhibit_lim_po_00,https://bassettassociates.s3.amazonaws.com/exhibit/exhibit_lim_po_00.tif,"2001 exhibit,Lima",poster,3675x2800,"Lima, Ohio 1975","The 1975 Uban Design Plan is described and illustrated with a plan, sketch, and photos",Bassett Associates,Bassett Associates files,James H. Bassett,2001,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
